SCLK,File_name,Target_plan,SiO2,SiO2_RMSEP,SiO2_shots_stdev,TiO2,TiO2_RMSEP,TiO2_shots_stdev,Al2O3,Al2O3_RMSEP,Al2O3_shots_stdev,FeOT,FeOT_RMSEP,FeOT_shots_stdev,MgO,MgO_RMSEP,MgO_shots_stdev,CaO,CaO_RMSEP,CaO_shots_stdev,Na2O,Na2O_RMSEP,Na2O_shots_stdev,K2O,K2O_RMSEP,K2O_shots_stdev,Sum_of_Oxides,Spectrum_Total
578053452,CL5_578053452CCS_F0692766CCAM01034P1.SAV,Mesabi,42.2,5.2,1.3,0.83,0.46,0.04,9.4,3.5,0.5,16.3,3.5,0.5,3.6,1.7,0.1,13.7,3.3,1,1.64,0.64,0.1,0.97,0.85,0.09,88.59,5.14E+14
578053528,CL5_578053528CCS_F0692766CCAM01034P1.SAV,Mesabi,47.2,5,1.2,0.89,0.47,0.03,10.3,3.5,0.4,19.3,3.8,0.5,4.2,1.8,0.2,7.1,2.3,0.8,2.16,0.62,0.09,1.74,1.11,0.1,92.79,5.81E+14
578053595,CL5_578053595CCS_F0692766CCAM01034P1.SAV,Mesabi,51.9,5,0.5,1.06,0.51,0.08,10.8,3.5,0.3,20.6,4,0.1,5.2,1.9,0.1,1.6,1,0.3,2.42,0.62,0.06,2.05,1.16,0.09,95.64,6.21E+14
578053661,CL5_578053661CCS_F0692766CCAM01034P1.SAV,Mesabi,52.4,5,0.6,1.02,0.5,0.03,11.7,3.6,0.6,19.6,3.9,0.3,5.2,1.9,0.2,1.7,1,0.3,2.47,0.62,0.12,1.69,1.1,0.07,95.86,4.96E+14
578053917,CL5_578053917CCS_F0692766CCAM01034P1.SAV,Mesabi,54.7,5.1,0.3,0.95,0.48,0.02,9.8,3.5,0.2,19.3,3.9,0.2,5.5,1.9,0.1,1.4,1,0.1,2.67,0.62,0.08,2.25,1.17,0.06,96.64,4.81E+14
578053993,CL5_578053993CCS_F0692766CCAM01034P1.SAV,Mesabi,53.6,5.1,0.4,0.86,0.46,0.04,9.4,3.5,0.3,18.2,3.7,0.2,5.6,1.9,0.1,1.8,1,0.1,2.22,0.62,0.1,1.56,1.07,0.1,93.29,3.06E+14
578054060,CL5_578054060CCS_F0692766CCAM01034P1.SAV,Mesabi,51.4,5,0.4,0.93,0.48,0.04,10.1,3.5,0.5,19.3,3.9,0.2,5.3,1.9,0.1,3.4,1.3,0.4,2.2,0.62,0.08,1.57,1.07,0.06,94.26,4.15E+14
578054126,CL5_578054126CCS_F0692766CCAM01034P1.SAV,Mesabi,53.7,5.1,0.4,0.91,0.47,0.03,10.6,3.5,0.2,20.6,4,0.2,5.2,1.9,0.1,1.3,0.9,0.1,2.55,0.62,0.09,2.51,1.18,0.08,97.29,4.64E+14
578054192,CL5_578054192CCS_F0692766CCAM01034P1.SAV,Mesabi,45.7,5,1.2,0.89,0.47,0.06,9.4,3.5,0.5,18.5,3.8,0.4,4.1,1.8,0.2,9.6,2.8,1.1,1.97,0.63,0.12,1.45,1.03,0.14,91.53,4.89E+14
578054258,CL5_578054258CCS_F0692766CCAM01034P1.SAV,Mesabi,54,5.1,0.2,0.9,0.47,0.03,10.7,3.5,0.2,19.3,3.9,0.3,5,1.9,0.1,1.6,1,0.2,2.78,0.62,0.12,2.52,1.18,0.05,96.87,4.44E+14