SCLK,Inst_Type,Type_of_Product,EDR_Type,Autofocus,Distance_m,RSM_Az_rad,RSM_El_rad,Nbr_of_Shots,Shots_Ignored, Shots_Averaged,LIBS_Exposure_ms,RMI_Exposure_Seed_ms,RMI_Exposure_Real_ms,Laser_Energy,Temperature,LMST,Laplacian_score,Mean_Total_Vnir,Flight_Version,RMC_Site,RMC_Drive,RMC_POSE,Type_of_Observation, Notes
578053305,CCAM,Image,CR0,Yes,2.47766,2.70939,0.665637,0,0,0,0,24,24,,, 10:43:48.685,94720,,2,69,2766,6,1x10 Raster, 
578053452,CCAM,1-D Single laser,CL5,No,2.49251,2.70939,0.665637,30,0,0,3,,,100A/95A/95A,3.29627, 10:46:11.272,,2.38E+06,2,69,2766,6,1x10 Raster, 
578053488,CCAM,Statistics,CL9,No,2.49251,2.70939,0.665637,30,0,0,3,,,,, 10:46:46.608,,,2,69,2766,6,1x10 Raster, 
578053528,CCAM,1-D Single laser,CL5,No,2.49251,2.70888,0.667064,30,0,0,3,,,100A/95A/95A,3.29627, 10:47:25.997,,2.43E+06,2,69,2766,6,1x10 Raster, 
578053564,CCAM,Statistics,CL9,No,2.49251,2.70888,0.667064,30,0,0,3,,,,, 10:48:00.272,,,2,69,2766,6,1x10 Raster, 
578053595,CCAM,1-D Single laser,CL5,No,2.49251,2.70836,0.668515,30,0,0,3,,,100A/95A/95A,2.97424, 10:48:30.537,,2.45E+06,2,69,2766,6,1x10 Raster, 
578053630,CCAM,Statistics,CL9,No,2.49251,2.70836,0.668515,30,0,0,3,,,,, 10:49:04.507,,,2,69,2766,6,1x10 Raster, 
578053661,CCAM,1-D Single laser,CL5,No,2.49251,2.70781,0.669873,30,0,0,3,,,100A/95A/95A,2.97424, 10:49:34.772,,2.51E+06,2,69,2766,6,1x10 Raster, 
578053696,CCAM,Statistics,CL9,No,2.49251,2.70781,0.669873,30,0,0,3,,,,, 10:50:08.742,,,2,69,2766,6,1x10 Raster, 
578053727,CCAM,Image,CR0,Yes,2.48239,2.70721,0.671301,0,,,,24,17,,, 10:50:38.974,77398,,2,69,2766,6,1x10 Raster, 
578053917,CCAM,1-D Single laser,CL5,No,2.4973,2.70721,0.671301,30,0,0,3,,,100A/95A/95A,2.97424, 10:53:43.831,,2.43E+06,2,69,2766,6,1x10 Raster, 
578053953,CCAM,Statistics,CL9,No,2.4973,2.70721,0.671301,30,0,0,3,,,,, 10:54:18.869,,,2,69,2766,6,1x10 Raster, 
578053993,CCAM,1-D Single laser,CL5,No,2.4973,2.70666,0.672729,30,0,0,3,,,100A/95A/95A,2.65226, 10:54:58.560,,2.09E+06,2,69,2766,6,1x10 Raster, 
578054029,CCAM,Statistics,CL9,No,2.4973,2.70666,0.672729,30,0,0,3,,,,, 10:55:32.835,,,2,69,2766,6,1x10 Raster, 
578054060,CCAM,1-D Single laser,CL5,No,2.4973,2.70609,0.674085,30,0,0,3,,,100A/95A/95A,2.97424, 10:56:03.143,,1.95E+06,2,69,2766,6,1x10 Raster, 
578054095,CCAM,Statistics,CL9,No,2.4973,2.70609,0.674085,30,0,0,3,,,,, 10:56:37.070,,,2,69,2766,6,1x10 Raster, 
578054126,CCAM,1-D Single laser,CL5,No,2.4973,2.70561,0.675443,30,0,0,3,,,100A/95A/95A,2.65226, 10:57:07.379,,2.01E+06,2,69,2766,6,1x10 Raster, 
578054161,CCAM,Statistics,CL9,No,2.4973,2.70561,0.675443,30,0,0,3,,,,, 10:57:41.305,,,2,69,2766,6,1x10 Raster, 
578054192,CCAM,1-D Single laser,CL5,No,2.4973,2.70506,0.676874,30,0,0,3,,,100A/95A/95A,2.65226, 10:58:11.741,,2.22E+06,2,69,2766,6,1x10 Raster, 
578054227,CCAM,Statistics,CL9,No,2.4973,2.70506,0.676874,30,0,0,3,,,,, 10:58:45.554,,,2,69,2766,6,1x10 Raster, 
578054258,CCAM,1-D Single laser,CL5,Yes,2.5015,2.70451,0.678303,30,0,0,3,,,100A/95A/95A,2.65226, 10:59:15.804,,2.10E+06,2,69,2766,6,1x10 Raster, 
578054423,CCAM,Statistics,CL9,No,2.5015,2.70451,0.678303,30,0,0,3,,,,, 11:01:56.290,,,2,69,2766,6,1x10 Raster, 
578054446,CCAM,Image,CR0,No,2.48655,2.70451,0.678303,0,0,0,0,24,17,,, 11:02:18.637,46567,,2,69,2766,6,1x10 Raster, 