SCLK,Inst_Type,Sequence,Target_Plan,Sol,File_Name,Geom,Notes
578053305,CCAM,ccam01034,Mesabi,2034,CR0_578053305EDR_F0692766CCAM01034M1.IMG,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053452,CCAM,ccam01034,Mesabi,2034,CL5_578053452EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053488,CCAM,ccam01034,Mesabi,2034,CL9_578053488EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053528,CCAM,ccam01034,Mesabi,2034,CL5_578053528EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053564,CCAM,ccam01034,Mesabi,2034,CL9_578053564EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053595,CCAM,ccam01034,Mesabi,2034,CL5_578053595EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053630,CCAM,ccam01034,Mesabi,2034,CL9_578053630EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053661,CCAM,ccam01034,Mesabi,2034,CL5_578053661EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053696,CCAM,ccam01034,Mesabi,2034,CL9_578053696EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053727,CCAM,ccam01034,Mesabi,2034,CR0_578053727EDR_F0692766CCAM01034M1.IMG,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053917,CCAM,ccam01034,Mesabi,2034,CL5_578053917EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053953,CCAM,ccam01034,Mesabi,2034,CL9_578053953EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578053993,CCAM,ccam01034,Mesabi,2034,CL5_578053993EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054029,CCAM,ccam01034,Mesabi,2034,CL9_578054029EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054060,CCAM,ccam01034,Mesabi,2034,CL5_578054060EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054095,CCAM,ccam01034,Mesabi,2034,CL9_578054095EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054126,CCAM,ccam01034,Mesabi,2034,CL5_578054126EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054161,CCAM,ccam01034,Mesabi,2034,CL9_578054161EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054192,CCAM,ccam01034,Mesabi,2034,CL5_578054192EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054227,CCAM,ccam01034,Mesabi,2034,CL9_578054227EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054258,CCAM,ccam01034,Mesabi,2034,CL5_578054258EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054423,CCAM,ccam01034,Mesabi,2034,CL9_578054423EDR_F0692766CCAM01034M1.DAT,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 
578054446,CCAM,ccam01034,Mesabi,2034,CR0_578054446EDR_F0692766CCAM01034M1.IMG,01010000A0E6100000C6605B30602E61401620FFEEB35B12C03D2CD49AF6A7B1C0, 